Name,Specialities,Locations,Areas of Focus
"Christopher (Chris) A. Aakre, M.D.",Internist,"Rochester, MN",Integrative medicine
N/A,,,
N/A,,,
"Ejigayehu G. Abate, M.D.","Internist, Endocrinologist","Jacksonville, FL","Hyperparathyroidism, Osteoporosis, Metabolic bone disease, Hypoparathyroidism"
N/A,,,
N/A,,,
N/A,,,
"Charles F. Abboud, M.B.",,"Rochester, MN",
N/A,,,
"Arnoley (Arney) S. Abcejo, M.D.",Anesthesiologist,"Rochester, MN",
N/A,,,
N/A,,,
"Ahmed D. Abdalrhim, M.D.",Internist,"Rochester, MN",
N/A,,,
N/A,,,
"Matthew P. Abdel, M.D.",Orthopedic Surgeon,"Rochester, MN","Hip surgery, Hip replacement, Hip fracture surgery, Hip replacement revision, Knee replacement, Knee reconstruction, Hi...p dysplasia, Periprosthetic fracture, Osteoarthritis, Infection, Arthritis"
N/A,,,
N/A,,,
"Haidar M. Abdul-Muhsin, M.B., Ch.B.",,"Phoenix, AZ","Partial nephrectomy, Prostatectomy, Nephrectomy, Prostate cancer, Kidney cancer"
N/A,,,
"Martin D. Abel, M.D.",Anesthesiologist,"Jacksonville, FL",Echocardiogram
N/A,,,
N/A,,,
"John (JP) P. Abenstein, M.D.",Anesthesiologist,"Rochester, MN",General anesthesia administration
N/A,,,
N/A,,,
"David Abia Trujillo, M.D., M.B.","Critical Care Specialist, Pulmonologist","Jacksonville, FL","Lung volume reduction surgery, Ultrasound-guided fine needle aspiration, Chest tube placement, Ultrasound-guided biopsy..., PEG-J tube placement, Lung tumor ablation, Bronchoalveolar lavage, Tracheal stenting, Endobronchial ultrasound biopsy, Thoracentesis, Thoracoscopy, Bronchoscopic balloon dilation, Endobronchial cryotherapy, Endobronchial laser therapy, Lung biopsy, Bronchial thermoplasty, Tracheostomy, Rigid bronchoscopy"
N/A,,,
N/A,,,
N/A,,,
"Kingsley O. Abode-Iyamah, M.D.",Neurosurgeon,"Jacksonville, FL","Cervical disk replacement, Cervical scoliosis surgery, Thoracic fusion, Lumbar scoliosis surgery, Thoracic scoliosis su...rgery, Cervical diskectomy, Spine tumor surgery, Lumbar fusion, Thoracic diskectomy, Cervical pseudoarthrosis procedure, Cervical laminectomy, Lumbar diskectomy, Cervical spine surgery, Lumbar pseudoarthrosis procedure, Thoracic pseudoarthrosis procedure, Thoracic laminectomy, Lumbar laminectomy, Cervical spine fusion"
N/A,,,
N/A,,,
"Omar F. Abou Ezzeddine, M.D., M.S.",,"Rochester, MN","Imaging procedure, Nuclear stress test, Sarcoidosis, Cardiac amyloidosis, Cardiac sarcoidosis, Pulmonary hypertension, ...Cardiomyopathy, Heart failure, Decompensated heart failure"
N/A,,,
"Neena S. Abraham, M.D.",,"Phoenix, AZ","Polypectomy, Therapeutic endoscopy, Colonoscopy, Esophagoscopy, Gastrointestinal bleeding, Anemia"
N/A,,,
"Andy Abril, M.D.",Rheumatologist,"Jacksonville, FL","Ultrasound, Sarcoidosis, Interstitial lung disease, Scleroderma, Vasculitis, Rheumatoid arthritis"
N/A,,,
N/A,,,
"Imad Absah, M.D.","Pediatric Gastroenterologist, Pediatrician","Rochester, MN","Lactose intolerance, Celiac disease, Inflammatory bowel disease"
N/A,,,
N/A,,,
N/A,,,
"Abd Moain (Moain) Abu Dabrh, M.B., B.Ch., M.S.",,"Jacksonville, FL","Wellness coaching, Resilience training, Stress management, Integrative medicine, Lifestyle health risk assessment"
N/A,,,
"Barham K. Abu Dayyeh, M.D., M.P.H.","Internist, Gastroenterologist","Rochester, MN","Endoscopic sleeve gastroplasty, Endoscopic procedure, ERCP, Endoscopic ultrasound, Upper endoscopy, Bariatric surgery"
N/A,,,
N/A,,,
N/A,,,
"Haitham S. Abu Lebdeh, M.D.","Internist, Endocrinologist","Rochester, MN",Arteriosclerosis/atherosclerosis
N/A,,,
N/A,,,
N/A,,,
"Osama A. Abulseoud, M.D.",,"Phoenix, AZ",
N/A,,,
"Joseph M. Accurso, M.D.","Radiologist, Clinical Informaticist","Jacksonville, FL","Nuclear medicine scan, PET/CT scan, MRI, CT scan, Pancreatic neuroendocrine tumor, Neuroendocrine tumor"
N/A,,,
N/A,,,
N/A,,,
"Michael J. Ackerman, M.D., Ph.D.",Pediatric Cardiologist,"Rochester, MN","Genetic testing, Brugada syndrome, Catecholaminergic polymorphic ventricular tachycardia , Drowning, Long QT syndrome, ...Sudden infant death syndrome, Hypertrophic cardiomyopathy"
N/A,,,
N/A,,,
"Andres J. Acosta, M.D., Ph.D.","Internist, Bariatrician, Gastroenterologist","Rochester, MN","Upper endoscopy, Bariatric surgery, Nutrition (Healthy eating), Obesity"
N/A,,,
N/A,,,
N/A,,,
N/A,,,
"Darcy L. Adamczyk, M.D.",Radiologist,"Rochester, MN",
N/A,,,
N/A,,,
